batteryTemperature,batteryVoltage,batteryCurrent,batteryLevel,isCharging,isScreenOn,wifiUsage,cellUsage,oneMinCpuWorkload,fiveMinCpuWorkload,fifteenMinCpuWorkload,cpuUsage,memoryUsage,weatherTemperature,weatherCode,marketName,manufacturer,sensedDate,androidVersion,hardwareId,widthPixels,heightPixels,densityDpi,openGlVersion,totalMemory,realTemp
30.5,3835,618750,54,FALSE,TRUE,0,0,8.56,6.34,4.36,44.44444444,0.530654826,14.3,1,Redmi Note 11,Xiaomi,2023-03-28T07:13:48.051Z,11,qcom,1080,2177,440,196610,3828121600,17.5
27.7,3923,57300,64,FALSE,FALSE,78693,0,28.37,28.28,28.43,0,0.592217499,15.4,0,Redmi Note 8 Pro,Xiaomi,2023-03-29T16:50:00.129Z,11,mt6785,1080,2134,440,196610,5909712896,26
29.9,3927,190625,63,FALSE,FALSE,25515,50247,1.47,2.72,4.1,40.66666667,0.563477423,15.7,2,Redmi Note 11,Xiaomi,2023-03-28T08:55:00.177Z,11,qcom,1080,2177,440,196610,3828121600,17.94
25,3781,329284,65,FALSE,TRUE,111072,144798,7.47,7.55,7.77,0,0.545687526,15.7,2,Honor 8C,HUAWEI,2023-03-28T08:55:00.138Z,8.1.0,qcom,720,1440,320,196610,2956783616,17.19
21,4071,36000,83,FALSE,FALSE,0,6420,0.56,0.61,0.84,64.08888889,0.649187957,16.9,3,Galaxy A52 5G,samsung,2023-03-28T09:00:00.182Z,13,qcom,1080,2273,420,196610,7782739968,17.25
22.2,4148,56700,86,FALSE,FALSE,0,23611,25.17,25.61,26,0,0.536943764,14.3,1,Redmi Note 8 Pro,Xiaomi,2023-03-28T07:25:00.110Z,11,mt6785,1080,2134,440,196610,5909712896,17.62
34.2,3835,421700,57,FALSE,TRUE,10606785,0,30.4,31.76,31.56,15.75555556,0.645451452,12.5,0,Redmi Note 8 Pro,Xiaomi,2023-03-29T19:15:00.124Z,11,mt6785,1080,2134,440,196610,5909712896,25.25
26.1,3902,417968,62,FALSE,TRUE,22588,31466,2.69,2.21,3.45,36,0.558857265,16.9,3,Redmi Note 11,Xiaomi,2023-03-28T09:00:00.163Z,11,qcom,1080,2177,440,196610,3828121600,17.94
30.5,3835,690625,54,FALSE,TRUE,4437,480708,4.78,5.75,4.31,41.55555556,0.582032955,14.3,1,Redmi Note 11,Xiaomi,2023-03-28T07:15:00.147Z,11,qcom,1080,2177,440,196610,3828121600,17.5
30,3971,404687,66,FALSE,TRUE,348435,339881,6.33,5.82,5.19,31.6,0.61273486,14.3,1,Redmi Note 11,Xiaomi,2023-03-28T07:40:00.146Z,11,qcom,1080,2177,440,196610,3828121600,17.69
